,gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,estimatedTeamTurnoverPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE
1,0022300017,1610612748,Miami,Heat,MIA,heat,240:00,118.9,115.6,109.7,111.7,9.2,3.9,0.65,3.25,20.1,0.25,0.696,0.478,8.573,8.3,0.53,0.582,1.0,0.199,94.5,95.0,79.17,96.0,0.579
0,0022300018,1610612765,Detroit,Pistons,DET,pistons,240:00,116.4,116.5,123.0,121.2,-6.6,-4.6,0.766,2.12,23.5,0.319,0.721,0.511,16.486,16.5,0.578,0.599,1.0,0.2,102.78,103.5,86.25,103.0,0.48
1,0022300018,1610612737,Atlanta,Hawks,ATL,hawks,240:00,123.0,121.2,116.4,116.5,6.6,4.6,0.622,2.0,19.9,0.279,0.681,0.489,13.667,13.5,0.586,0.64,1.0,0.201,102.78,103.5,86.25,104.0,0.52
0,0022300019,1610612755,Philadelphia,76ers,PHI,sixers,240:00,112.1,114.5,121.6,122.2,-9.5,-7.7,0.512,1.38,15.8,0.227,0.776,0.516,14.235,14.5,0.535,0.621,1.0,0.199,110.46,109.0,90.83,110.0,0.474
1,0022300019,1610612754,Indiana,Pacers,IND,pacers,240:00,121.6,122.2,112.1,114.5,9.5,7.7,0.667,2.91,21.3,0.224,0.773,0.484,10.136,10.2,0.586,0.614,1.0,0.199,110.46,109.0,90.83,108.0,0.526
0,0022300020,1610612751,Brooklyn,Nets,BKN,nets,240:00,128.1,130.5,105.9,109.5,22.2,21.1,0.478,1.38,16.7,0.356,0.708,0.538,16.529,16.8,0.653,0.661,1.0,0.197,97.52,95.0,79.17,95.0,0.561
1,0022300020,1610612753,Orlando,Magic,ORL,magic,240:00,105.9,109.5,128.1,130.5,-22.2,-21.1,0.639,1.44,17.7,0.292,0.644,0.462,16.287,16.8,0.537,0.57,1.0,0.196,97.52,95.0,79.17,95.0,0.439
0,0022300021,1610612760,Oklahoma City,Thunder,OKC,thunder,240:00,112.0,116.0,79.8,82.1,32.2,34.0,0.739,2.13,23.0,0.205,0.678,0.476,14.572,15.1,0.601,0.629,1.0,0.197,109.38,106.0,88.33,106.0,0.697
1,0022300021,1610612759,San Antonio,Spurs,SAS,spurs,240:00,79.8,82.1,112.0,116.0,-32.2,-34.0,0.667,0.96,16.4,0.322,0.795,0.524,22.944,23.6,0.435,0.449,1.0,0.198,109.38,106.0,88.33,106.0,0.303
0,0022300022,1610612740,New Orleans,Pelicans,NOP,pelicans,240:00,123.1,126.0,104.3,102.8,18.7,23.2,0.673,2.54,21.8,0.286,0.648,0.476,12.213,12.5,0.596,0.621,1.0,0.198,105.94,105.5,87.92,104.0,0.618
